Job Title,Company Name,Location,Sector,Job Type,Salary,Job Responsibilities
SAP Business Analyst (SAP Production Planning and Material Management),Biopure Water Filtration Pty Ltd,Selangor,Business/Systems Analysts (Information & Communication Technology),Full time,,"Sr. SAP Business Analyst in Supply Chain Management. In this role you will provide day-to-day support, ongoing process improvement and implementation of new functionalities. You will act as a liaison between business areas and the IT organization; you will set customer expectations, communicate effectively with the business and technical teams and provide timely project status. Your efforts will primarily focus on supporting cross-functional applications in SAP and other globally integrated ERP solutions.ESSENTIAL RESPONSIBILITIES: -Configures SAP and business systems across multiple functional areas -Defines business processes, improvements, system scope, and business objectives -Nice to have hands-on experience with one or more of the following SAP Technologies -Manufacturing Execution System (MES) -Manufacturing Integration and Intelligence (MII) -Integrated Business Planning (IBP) -Assists user community in analyzing and defining needs -Creates detailed specifications from which programs will be written -Develops business cases for large-scale system and process solutions and presents to executive management; works with end users to define and configure new application modules. -Manages own workload, and may direct the work of other analysts and coworkers -Independently learn about new or upcoming functionality available in relevant area to proactively provide suggestions or solutions to the business -Applies project management best practices to all projects; responsible for mid-sized projects utilizing 1 or more resources -Reengineers and leads others in the reengineering of cumbersome processes to create efficient, accurate and well-documented solution -Provides significant input into defining the strategic direction of a functional area. SKILLS: -Experience/expertise in mapping business processes using MS Visio or similar product. -Ability to communicate effectively. -Ability to solve problems and provide innovative solutions. -Ability to work in a team environment. -Experience supporting and integrating SAP ERP system. -Ability to work in a fast paced, demanding environment. EXPERIENCE:Essential: -12+ years of design & configuration experience in multiple SAP modules -Strong knowledge and cross functional understanding of SAP modules (SAP MM/ PP/ QM/ WM/ SD/ FI/ CO). -Full lifecycle SAP implementation experience -Experience in ERP processes- Sales & Operations planning (S&OP), MRP, Production Planning and scheduling, Purchasing, Manufacturing, Inventory Management, Logistics, Quality Management -Experience in Shop Floor Controls & integrations with SAP -Experience in implementation or production support of Manufacturing Execution System (SAP MES) Desirable: -Hitech and/or Manufacturing industry experience. EDUCATION:Essential:Bachelors degree in Business or Computer Information Systems, or equivalent education Desirable:Functional area training or studies"
Graduate Talent (Supply Chain System Solution and Data Analyst),Intel Technology Sdn. Bhd.,Penang,"Analysis & Reporting (Manufacturing, Transport & Logistics)",Full time,,"Job Details: Job Description: We are seeking a detail-oriented and strategically minded Supply Chain Analyst to join our dynamic team. In this role, you will be responsible for analyzing supply chain processes, identifying areas for improvement, and implementing solutions to enhance efficiency and effectiveness. Your analytical skills and ability to translate data into actionable insights will be crucial in driving our supply chain operations forward.Qualifications: Key Responsibilities: Conduct comprehensive analysis of supply chain data to identify trends, forecast demand, operational performance and optimize operational efficiency. Collaborate with cross-functional teams to ensure supply chain strategies are aligned with overall business objectives. Develop and maintain reporting tools and dashboards for tracking supply chain performance metrics. Implement process improvements to reduce costs, streamline operations, and improve service levels. Maintain knowledge of industry best practices and new technologies that could impact the supply chain. Minimum Requirements: Bachelor's degree in data science, Statistics, Mathematics, Computer Science, Economics, or a related field. Experiences in a data analysis eg. Power BI, databases (SQL), and Excel. Strong analytical skills with the ability to collect, organize, and disseminate significant amounts of information with attention to detail and accuracy. Excellent communication skills, both written and verbal, with the ability to present complex data in a clear and concise manner. Demonstrated experience with data visualization tools such as Tableau or Power BI. Ability to work independently and collaboratively in a fast-paced environment. Preferred Qualifications: Experience with programming languages such as Python or Java. Experience with ERP systems and advanced supply chain tools. Familiarity with statistical analysis and forecasting methodologies. Knowledge of machine learning (ML) techniques, artificial intelligence (AI) and predictive modeling. Job Type: Intel Contract EmployeeShift: Shift 1 (Malaysia)Primary Location: Malaysia, PenangAdditional Locations: Business group: As the world's largest chip manufacturer, Intel strives to make every facet of semiconductor manufacturing state-of-the-art -- from semiconductor process development and manufacturing, through yield improvement to packaging, final test and optimization, and world class Supply Chain and facilities support. Employees in the Technology Development and Manufacturing Group are part of a worldwide network of design, development, manufacturing, and assembly/test facilities, all focused on utilizing the power of Moore’s Law to bring smart, connected devices to every person on Earth.Posting Statement: All qualified applicants will receive consideration for employment without regard to race, color, religion, religious creed, sex, national origin, ancestry, age, physical or mental disability, medical condition, genetic information, military and veteran status, marital status, pregnancy, gender, gender expression, gender identity, sexual orientation, or any other characteristic protected by local law, regulation, or ordinance. Position of Trust N/A Work Model for this Role This role will be eligible for our hybrid work model which allows employees to split their time between working on-site at their assigned Intel site and off-site. * Job posting details (such as work model, location or time type) are subject to change."
"Sr Analyst, Business - Sales",Ansell Global Trading Center (Malaysia) Sdn Bhd,"Cyberjaya, Selangor",Analysis & Reporting (Sales),Full time,,"Ansell is a leading global provider of protection solutions. Our company designs, develops and manufactures a wide range of protection solutions that meet the ever-changing needs and demands of our markets and industries. Protection is our primary concern as millions of people around the world depend on Ansell in their professional and personal lives. Our vision is to create a world where people can enjoy optimal protection against the risk they are exposed to. Whether at work or during their leisure time, people require the right protection for the right application. After all, what better guarantee is there than increased safety, security and productivity than through adequate protection. GENERAL SUMMARY OF POSITION Reporting to the Manager, Commercial Analytics EMEA-APAC, the Senior Commercial Analyst will play a pivotal role in guiding strategic decisions and optimizing business performance. You will be responsible for analyzing complex data sets, identifying trends, and translating findings into actionable recommendations. You will act as a privileged partner of APAC Commercial Units (CU) leaders and collaborate with cross-functional teams to develop strategies that enhance profitability, improve operational efficiency, and drive sustainable growth. RESPONSIBILITIES & SPECIFIC ACCOUNTABILITIES Develop in-depth knowledge of the business, actively participate in sales meetings, budget and forecasting processes, deliver content for business reviews and presentations, advise, and provide guidance on commercial strategic decisions. Together with the Sales Enablement team identify, implement, or enhance processes, tools and solutions that drive Sales efficiency and therefore, revenue growth. Design and lead related projects. Execute ad-hoc analysis: gather and analyze complex data sets from multiple enterprise tools, present actionable insights, and business recommendations to the relevant stakeholders. Assess existing reporting and data availability and integrity, as well as future needs. Develop both customized and standardized sales & performance dashboards to improve business understanding and decision making. Identify and develop appropriate applications for data visualization and analysis. Analyze historical sales-in and sales-out data, market trends, and competitor activities to provide valuable insights and tactical recommendations. Initiate and coordinate cross departmental initiatives to streamline sales processes and improve efficiency. Drive the development of KPIs and metrics to measure the effectiveness of business strategies and initiatives. Manage Sales Incentive Plans (SIP): provide guidance to CU leaders on SIP plan optimization, ensure proper governance, deliver impact simulations and accruals to Finance, and ensure timely communication with RSMs & RSDs and HR. Stay up-to-date with industry trends, best practices, and emerging technologies to continuously improve analytical processes and methodologies. KEY POSITION REQUIREMENTS Bachelor’s degree in Business Administration, Finance, Sciences, or any related field. Master's degree is a plus. 5+ years of experience in a similar role within a B2B multi-national manufacturing company. Proficient in Excel. Proven experience managing and developing databases and BI applications such as Qlik, Power BI, etc. Good knowledge of ERP & CRM systems (SAP, Oracle, Salesforce, etc.). Proven record of report automation and data visualization. : Malaysia-Selangor-Cyberjaya : MY Selangor Cyberjaya Prima 6 Prima Avenue Block 3512 Prima 6 Prima Avenue, Block 3512 Jalan Teknokrat 6 Cyberjaya 63000 : Sales : Commercial EMAP : Full-time : Standard : Analyst : Dec 20, 2024, 8:40:15 AM"
Senior Business Analyst,Encora Technologies Sdn Bhd,"Kuala Lumpur City Centre, Kuala Lumpur",Business/Systems Analysts (Information & Communication Technology),Full time,,"Description Senior Business Analyst Location: Kuala Lumpur Job Summary Senior Business Analyst (BA) is responsible for analyzing business processes, identifying areas for improvement, and proposing solutions that align with the organization’s goals and objectives. They collaborate with stakeholders from various departments to gather requirements, assess the impact of changes, and ensure successful implementation of projects. Senior BA also provides guidance and mentorship to junior BA and contribute to strategic planning initiatives. Responsibilities and Duties Lead business requirements gathering and analysis for key projects, working closely with cross-functional teams to define scope and objectives. Facilitate and manage user acceptance testing (UAT), ensuring alignment with business requirements and quality standards. Provide expert guidance in managing user needs and expectations, ensuring successful implementation of solutions. Develop and maintain strong relationships with key stakeholders to ensure that business solutions meet operational needs. Collaborate with IT, product, and design teams to ensure seamless integration of digital and technology solutions. Support digital transformation initiatives with an emphasis on optimizing omni-channel, digital marketing, and user experience strategies. Provide subject matter expertise in insurance products, processes, and regulations, with a focus on GI P&C and Health insurance industries. Contribute to the solution design process by translating business requirements into technical specifications. Collaborate with business leaders and product managers to ensure the successful development and implementation of solutions. Lead the analysis and improvement of existing business processes to enhance operational efficiency and customer experience. Qualifications and Skills 10+ years of experience as a Business Analyst, with a proven track record in business requirement gathering, user acceptance testing, and user management. At least 3 years of experience supporting or working in the insurance industry, particularly within the domains of GI P&C and/or Health insurance. In-depth knowledge of insurance products, processes, regulations, and industry best practices. Proven experience in working on digital initiatives, particularly with a focus on digital transformation in the insurance sector. Strong understanding of UI/UX design principles, digital channel optimization, omni-channel integration, and digital marketing integration. Experience working in consultancy roles and leading business analysis, solution/application development, and project management. Excellent communication, problem-solving, and stakeholder management skills. Ability to work independently and in a team-oriented, collaborative environment. Additional Requirements Experience with industry-specific tools and platforms used within the insurance sector. Certifications in business analysis (e.g., CBAP, PMI-PBA) or project management (e.g., PMP) would be a plus. Familiarity with Agile and/or Scrum methodologies. About Encora Encora is a global company that offers Software and Digital Engineering solutions. Our practices include Cloud Services, Product Engineering & Application Modernization, Data & Analytics, Digital Experience & Design Services, DevSecOps, Cybersecurity, Quality Engineering, AI & LLM Engineering, among others. At Encora, we hire professionals based solely on their skills and do not discriminate based on age, disability, religion, gender, sexual orientation, socioeconomic status, or nationality. * Required field Encora has my consent to collect, store, and process my data for the purpose of considering me for employment, and for up to 5 years thereafter. Please keep my application on file for consideration in connection with other positions at Encora and its affiliates\"",\""required\"":false},{\""communicationTypeId\"":9691089,\""label\"":\""I have read and agree to the Encora Terms of Use.\"",\""required\"":true}],\""legitimateInterestLegalBasis\"":\""LEGITIMATE_INTEREST_PQL\"",\""communicationConsentText\"":\""* Required field\"",\""processingConsentType\"":\""REQUIRED_CHECKBOX\"",\""processingConsentCheckboxLabel\"":\""I have read and agree to the Encora Privacy Policy.\"",\""processingConsentFooterText\"":\""If you decide that you wish to apply for a job with us, you may submit your contact information and your resume through Encora Sites. We will collect the information you choose to provide on your resume, such as your education and employment experience. We may use information provided by you in connection with your application for employment to assess your qualifications and we may share this information with clients and affiliates of Encora solely in connection with our efforts to evaluate you for a position at Encora or for assignment to one or more Encora Clients. \"",\""privacyPolicyText\"":\""Encora has my consent to collect, store, and process my data for the purpose of considering me for employment, and for up to 5 years thereafter.\"",\""isLegitimateInterest\"":false}"",""embed Type"":""REGULAR"",""disableCookieSubmission"":""true"",""renderRawHtml"":""true"",""user Agent"":""Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36 JobBot/2.0 (+http://www.jora.com/bot)"",""page Title"":""Encora Jobs"",""page Url"":""https://careers.encora.com/application?4626746007&gh_jid=4626746007"",""page Id"":""54643943513"",""url Params"":{""gh_jid"":""4626746007""},""isHubSpotCmsGeneratedPage"":true,""canonical Url"":""https://careers.encora.com/application"",""content Type"":""standard-page"",""hutk"":""fdd3419ab4c26ac3cad8770324f3cc2f"",""__hsfp"":2104123436,""__hssc"":""119895511.5.1737141985437"",""__hstc"":""119895511.fdd3419ab4c26ac3cad8770324f3cc2f.1737141985436.1737141985436.1737141985436.1"",""form Target"":""#internal-form"",""boolCheckBoxFields"":""LEGAL_CONSENT.subscription_type_70802668,LEGAL_CONSENT.subscription_type_9691089,LEGAL_CONSENT.processing"",""rumScriptExecuteTime"":693.5,""rumTotalRequestTime"":947,""rumTotalRenderTime"":1070.3999999761581,""rumServiceResponseTime"":253.5,""rumFormRenderTime"":123.39999997615814,""connection Type"":""4g"",""firstContentfulPaint"":0,""largestContentfulPaint"":0,""locale"":""en"",""timestamp"":1737142027767,""originalEmbedContext"":{""portal Id"":""7958737"",""form Id"":""d278aac2-6b59-4e39-8856-8fc90c066bc6"",""region"":""na1"",""target"":""#internal-form"",""is Builder"":false,""isTestPage"":false,""is Preview"":false,""isMobileResponsive"":true},""correlation Id"":""3bb09d38-9e60-413e-9baf-a393915bb4e3"",""renderedFieldsIds"":[""private_first_name"",""private_last_name"",""email"",""private_country_selector"",""mobilephone"",""private_linkedin"",""private_document"",""availability_to_start_working"",""candidate_gh_job_id"",""candidate_source_id"",""city"",""state"",""LEGAL_CONSENT.subscription_type_70802668"",""LEGAL_CONSENT.subscription_type_9691089"",""LEGAL_CONSENT.processing""],""captcha Status"":""LOADED"",""emailResubscribeStatus"":""NOT_APPLICABLE"",""isInsideCrossOriginFrame"":false,""source"":""forms-embed-1.7309"",""source Name"":""forms-embed"",""source Version"":""1.7309"",""sourceVersionMajor"":""1"",""sourceVersionMinor"":""7309"",""allPageIds"":{""analyticsPageId"":""54643943513"",""contentPageId"":54643943513,""contentAnalyticsPageId"":""54643943513""},""_debug_embedLogLines"":[{""client Timestamp"":1737142026373,""level"":""INFO"",""message"":""Retrieved customer callbacks used on embed context: [\""onFormReady\""]""},{""client Timestamp"":1737142026375,""level"":""INFO"",""message"":""Retrieved page Context values which may be overriden by the embed context: {\""page Title\"":\""Encora Jobs\"",\""page Url\"":\""https://careers.encora.com/application?4626746007&gh_jid=4626746007\"",\""user Agent\"":\""Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36 JobBot/2.0 (+http://www.jora.com/bot)\"",\""url Params\"":{\""gh_jid\"":\""4626746007\""},\""page Id\"":\""54643943513\"",\""contentAnalyticsPageId\"":\""54643943513\"",\""contentPageId\"":54643943513,\""isHubSpotCmsGeneratedPage\"":true}""},{""client Timestamp"":1737142026379,""level"":""INFO"",""message"":""Retrieved country Code property from normalized embed definition response: \""US\""""},{""client Timestamp"":1737142027703,""level"":""INFO"",""message"":""Retrieved analytics values from API response which may be overriden by the embed context: {\""hutk\"":\""fdd3419ab4c26ac3cad8770324f3cc2f\"",\""canonical Url\"":\""https://careers.encora.com/application\"",\""content Type\"":\""standard-page\"",\""page Id\"":\""54643943513\""}""}]}"">"
IT Business Analyst (Assistant Manager),Tokio Marine Insurans (Malaysia) Berhad,"Kuala Lumpur City Centre, Kuala Lumpur",Business/Systems Analysts (Information & Communication Technology),Full time,,"Responsibilities Responsible to manage new business projects from scope definition through implementation across internal, external and cross-functional teams. Responsible to assist in the IT functional initiatives framework development, implementation and maintenance. Provide IT solution to meet the business need that aligned to company strategic business objective. Recommend solutions to business unit on business opportunity/ problem that had been identified. Manages the relationship with Business Stakeholders. Follow-up and communicate effectively with relevant parties to ensure the project is delivered on time and within budget. Ensure all mandatory project/ request documents are properly sign-off and documented. To provide first line support to front-end subsystems integration matters."
System Analyst (Banking Domain),TECHTIERA SDN. BHD.,Kuala Lumpur,Business/Systems Analysts (Information & Communication Technology),Full time,"RM 10,000 – RM 14,500 per month","Role: System Analyst (Banking Domain) Duration: 1 Year, renewable Location: KL, Malaysia Experience Level: L3 (6-9 years) Platform/Product: Wealth Advisory Server/Database: N/A Language: Java/SQL Operating System: Unix Job Description We are seeking a highly skilled System Analyst with extensive experience in the banking domain to join our team. The ideal candidate will have a strong background in system analysis, testing, and project management, particularly within Retail/Consumer Banking, Wealth Management, customer management, and Branch Banking products. Responsibilities Understand business requirements and translate them into Functional Specifications (FSD) and Technical Design Specifications (TSD). Perform end-to-end system analysis across functional domains and technologies. Develop detailed interface specifications and data mapping based on user requirements. Collaborate with stakeholders to facilitate requirements sessions and ensure effective communication and collaboration. Provide insights and solutions through well-developed analytical and problem-solving skills. Manage multiple tasks and perform well under pressure. Ensure a good working knowledge of relevant applications and development life cycles. Requirements More than 3 years of experience working in banking technology as a System Analyst. Over 4 years of relevant experience in system analysis, testing, and/or project management related to Retail/Consumer Banking, Wealth Management, customer management, and Branch Banking products. Experience in interface specification and data mapping. Knowledge of Wealth Management, Oracle SQL, and Java is a plus. Strong analytical and problem-solving skills with the ability to grasp new concepts quickly. Excellent negotiation skills and the ability to work well in a team. Outstanding interpersonal and communication skills. Experience with Unix operating systems. Familiarity with development life cycles and relevant applications. If you are a dedicated professional with a passion for banking technology and a proven track record in system analysis, we encourage you to apply."
IT Business Analyst – Salesforce Marketing Cloud,Hilti (Malaysia) Sdn Bhd,"Petaling, Selangor",Business/Systems Analysts (Information & Communication Technology),Full time,,"What's the role? Be part of Hilti’s Global IT team for Marketing and Sales solutions where you will bring a direct impact on the marketing technology and bring customer experience to a new level. You will learn about the Hilti business, Marketing Automations and develop innovative solutions with multi scrum-teams running in full agile mode. You will be partnering with Hilti business stakeholders to discuss new ideas for data-driven and behavioral digital marketing to build the unique, omnichannel digital marketing solutions we need for our future success. This is an excellent opportunity to join the global team and be part of us in this digital transformational journey. Who is Hilti? Join Hilti – A Great Place to Work 2024 & ranked as Asia’s 4th Best Workplaces. At Hilti, innovation drives everything we do. We’re committed to improving productivity, safety, and sustainability in the global construction industry and beyond. Our strong customer relationships help us create solutions that truly build a better future . With over 120 locations worldwide , we take pride in fostering a deep sense of belonging that extends into our lives and homes . At Hilti Asia IT Services, we’re at the forefront of digital transformation in construction, aligned with our mission of Making Construction Better. As the IT backbone of Hilti, we empower over 34,000 employees across 120+ countries, delivering cutting-edge solutions to enhance productivity globally. Based in Malaysia, we collaborate with global teams, utilizing the latest technologies in software development, analytics, IT infrastructure, and design engineering to drive transformative initiatives. Our people are our greatest strength, and our Great Place to Work 2024 recognition celebrates our commitment to a culture that values care, performance, and innovation. We offer competitive rewards and comprehensive career development opportunities that ensure your success is our priority. Come be a part of our journey and make a lasting impact! What does the role involve? As an IT Business Analyst,you will actively engage with cross-functional teams and work closely with strategic counterparts to shape the successes of Digital Marketing at Hilti. You will bridge the technical and business worlds as you design scalable systems and solutions that drive the company. You will be responsible to implement and to scale our Marketing Cloud ecosystem, which includes integrations with a mix of technologies that involve Salesforce, SAP, Microsoft Azure and Amazon Web Services. With your problem-solving attitude and holistic approach, you ensure reliable operations and drive new initiatives to consolidate the Marketing Tech Platforms. In our cross functional setup, you can demonstrate an ability to work within a challenging and fast-moving environment to rapidly deliver services that have a broad business impact. We have an excellent mix of people, which we believe makes for a more vibrant, more innovative and more productive team. What do we offer? At Hilti, we believe in a caring and performance-oriented culture. Our people are our greatest strength, and our Great Place to Work 2024 recognition celebrates our commitment to a culture that values care, performance, and innovation. We offer competitive rewards and comprehensive career development opportunities that ensure your success is our priority. Click on the link to know more Kuala Lumpur | Hilti Careers What you need is: Bachelor’s or Master’s degree in Information Systems, Computer Science, or related fields. Interested in digital marketing implementations covering business requirements, solution designing, and hands-on implementation. Min. 3 years of experience in Salesforce Marketing Cloud. Basic understanding of system integration technologies and/ or software development. Excellent analytical and problem-solving skills. Self-motivated, driven, and result-oriented, with a strong customer focus. Ability to effectively, collaboratively, and proactively work as part of a cross-functional team. Strong communication and interpersonal skills with the ability to work with widely diverse personalities. Be fluent in English (verbally and written). Experience in agile working is a plus. Why should you apply? At Hilti, we’re leading the digital transformation in the construction industry. With our innovative technologies, we’re pushing the boundaries of what's possible—whether it's through advanced software development, data driven solutions, or state-of-the-art IT infrastructure. By joining our team, you’ll be part of a dynamic environment where technology meets real-world impact, enabling smarter, more efficient, and safer construction processes worldwide. We offer: Cutting-edge projects that utilize the latest in AI, cloud computing, and advanced analytics. A chance to work with global teams on solutions that are shaping the future of construction. Continuous learning and development opportunities to grow your skills in the rapidly evolving tech landscape. If you’re passionate about technology and ready to make an impact in an industry that’s critical to shaping the world around us, Hilti Asia IT Services is the place for you. Click through the 'Apply Now' button where you will be asked to upload your CV and answer a couple of short questions – the whole process should take around 90 seconds. If we like what we see, you'll be invited to a telephone interview. If we don't have a suitable role for you at the moment, we will keep you in our talent pool for the future so your recruitment process might take a bit longer but we'll be sure to stay in touch. If you wish to discuss the role further, please reach out to Anastasia Vasilachi: www.linkedin.com/in/anastasia-v-3976612a #JoinHiltiAsiaITServices Looking forward to hearing from you!"
Job Posting Title Senior IT Business Analyst,Principal Asset Management Berhad,Kuala Lumpur,Business/Systems Analysts (Information & Communication Technology),Full time,,"Responsibilities At Principal, we invest in what matters. And building talented teams is where it all begins. We’re drawn to people who bring unique perspectives, passion, and expertise to help us advance the financial security and well-being of our customers, transform our growing business, and drive positive change in the communities where we live and work. When we invest in you, and you invest in us, great things happen. We are looking for a Senior IT Business Analyst in Malaysia who will work with the IT Business Analysts to provide technical support to users, assisting in system integrations as well as assisting the business in analyzing and identifying IT solutions. What You'll Do Application Support (40%): Adhere to service level agreement (includes troubleshooting), participate in projects based on defined roles, carry out testing & deployments. Understand work assignments including prioritizing based on the agreed delivery dates. Software Development (5%): Develop and maintain ETL tools and reports. People Management (10%): Provide guidance to the team members and maintain good rapport with colleagues. Business Analysis (35%): Manage requirements at the project level to fulfill business needs. Tasks include defining business requirements, outlining problems, seeking opportunities and solutions and communicating back to the stakeholders. Policies & Procedures (5%): A strong understanding in IT P&P as adhering & enforcing are required. Improve the current processes/ procedures. Documentation is required. Knowledge & Training (5%): Attend relevant technical and soft skill trainings including knowledge sharing. General: Practice agile approach where applicable. Assume any other duties as and when required by Management. Qualifications Who You Are You have a bachelor's degree in Computer Science, IT or related subject. You have at least 7 years of working experience in providing application/system support and business analysis. Experience in managing a team would be an added advantage. You are an effective communicator, analytical and strong at documentation as well as problem solving. You have experience working in the financial services industry. Additional Information Who We Are Principal Financial Group is a Fortune 500 global leader in financial services focused on insurance, retirement, and asset management. We have 18,000 employees and 51 million customers around the world with over $714B in assets under management."
Finance Business Analyst,The Access Group,"Kuala Lumpur City Centre, Kuala Lumpur",Analysis & Reporting (Accounting),Full time,,"Job description We’re looking for people to join the Access family, who share our passion for believing in better, and who will help us continue to grow. Love Work. Love Life. Be You. is central to our success and how we give our customers the freedom to do more of what's important to them. What does Access offer you? We offer a blended approach to office working, encouraging you to collaborate and connect in one of our thriving offices. We deliver on what we say, taking the development of our people seriously. We’ll work with you to progress your success plan and provide opportunities to accelerate your career. On top of a competitive salary, our wellbeing days taking you to 25 days leave a year and a health contribution, you’ll also be able to choose from a range of benefits to suit you. We’re an organisation that likes to give back, so you’ll also have three charity days allocated to support a cause that matters to you. About you: We are seeking a meticulous and analytical Finance Business Analyst to join our team, leveraging financial data and insights to drive strategic decision-making, streamline processes, and collaborate with stakeholders to achieve impactful business outcomes. Day-to-day, you will: Conduct analysis and develop dashboards which provide actionable insights and accurate information to support decision-making at all business levels. Develop and conduct financial simulations based on various business scenarios, incorporating relevant assumptions. Generate and share insightful reports that align with regional, group, and local reporting requirements, empowering divisional management with enhanced monthly control Provide crucial financial data to support the business in their sales and cost planning and forecasting. As a well-rounded Finance person, your Skills and Experiences likely include: Use data modeling, design and analysis techniques to take business intelligence projects from concept to implementation and participate in the development of new data products Identify opportunities for improvement in data quality, transfer, transformation, and reporting Thoroughly understand how different business areas interact and influence each other. Strong interpersonal skills – ability to form and leverage relationships Good at solving problems, innovative and an inquisitive mind Adaptable, flexible and able to work well under time pressure, in a fast paced, matrix organization Excellent communicator – both written and verbal; that can challenge effectively Can show empathy whilst maintaining Professional Integrity Confidence in offering your insight and ability to influence senior stakeholders Can operate effectively in a virtual team environment across multiple locations Have a great attitude, be proactive and resilient What are we all about? The Access Group is one of the largest UK-headquartered providers of business management software to small and mid-sized organisations in the UK, Ireland, USA and Asia Pacific. It helps more than 100,000 customers across commercial and non-profit sectors become more productive and efficient. Our products and solutions go beyond providing technology, we connect the right people with the right data, at the right time, through Access Workspace. At Access, we are committed to creating a welcoming and inclusive environment where everyone can thrive. If you're excited about this role, (even if your previous experience doesn't align perfectly), you might just be the perfect fit for us! We wholeheartedly believe in equality for all and the transformative power of diversity. Why not join our vibrant team where you can love what you do, love how you live, and most importantly, be authentically you? Let's make a difference together. Love Work. Love Life. Be You."
IT Business Analyst - Order to Cash (OTC),Hilti (Malaysia) Sdn Bhd,"Petaling, Selangor",Business/Systems Analysts (Information & Communication Technology),Full time,,"What's the role? You will be involved as a part of our global solution called “Serrala FS2Autobank and SmartEye” which is fully integrated with our SAP ERP S/4HANA system and where state-of-the-art technologies are used, such as Artificial Intelligence (AI) and Machine Learning (ML) modeling. You will work closely with IT Product Owners as well as having a 1:1 counterpart from the Finance Business team for roadmap/project/strategy planning. We are a truly Global Team where we collaborate with the Global Business Teams on 5 major topics (Innovation, Compliance, Operation Excellence, Digitalization and Automation). We are focusing to bring the user centric as well as customer centric approach to another level and develop or implement advanced tools and services for our finance business across the world. Not only operational, but you will also be involved in steering and driving continuous improvement initiatives such as Lockbox, Bill of Exchange (BOE) and Cash Management. Who is Hilti? Hilti is where innovation is improving productivity, safety and sustainability in the global construction industry, and beyond. Where strong customer relationships are creating solutions that build a better future. Where there is pride and a sense of belonging across our 120 locations, carrying right into our lives and homes. Where people are exploring possibilities, leveraging their potential, owning their personal development and growing lasting careers. Global IT within Hilti is a truly global team with main hubs in Buchs (Switzerland), Kuala Lumpur (Malaysia) and Plano/Tulsa (USA). All locations have highly competent teams who work very closely together. Hilti`s Global IT team is known for their focus on sustainable value creation by translating latest IT innovations into value creating solutions & services. What does the role involve? As an IT Business Analyst in the OTC Area, you will learn about the business processes and support the design, development, testing and implementation of solutions in our ERP system (SAP S/4HANA and Business ByDesign) or interact with our multiple third-party applications. Simultaneously, you will be involved in defining the processes together with business, developing system requirements, designing, prototyping, testing custom technology solutions, and supporting system implementation to maximize efficiency for a business model. You will be working primarily with our SAP S/4HANA system and on the integration between S/4HANA with 3 rd party tool such as Serrala FS2Autobank and various financial topics such as Business Partner, Payment Cards etc. On top of the projects, you will be actively working on supporting daily operational topics via our ticketing platform (ServiceNow – Requests / Incidents). You will work closely with highly competent team members within FICO IT to provide solutions to our business. We have an excellent mix of people, which we believe makes for a more vibrant, more innovative and more productive team. You will be part of a global and diverse team located in Kuala Lumpur, Malaysia. You will be actively working with IT colleagues in other strategic IT locations (Buchs - Switzerland and Plano/Tulsa – USA) and with our business stakeholders around the world. We live Diversity and Inclusion. We develop and manage our team members based on trust and empowerment. Our values are integrity, courage, teamwork and commitment What do we offer? Show us what you’re made of and we’ll offer you opportunities to move around the business – to work abroad, experience different job functions and tackle different markets. It’s a great way to find the right match for your ambitions and achieve the exciting career you’re after. We have a very thorough people review process, unlike any we know of in any other business. We can pair talent with opportunities - developing our people in their current roles or challenging them to work in new ways or in new places. It’s how we find the right fit, further our teams personally and professionally, get the best value for each employee and increase the job satisfaction. Additionally, we offer you a wide range of benefits. Our IT team works in close collaboration with its business stakeholders and each area is driving and supporting each other for a genuine successful outcome. You will have the opportunity to learn our processes, be part of a project and contribute to the overall success of it, drive improvements and get experience in the exciting finance world. You will be part of a global team and learn what it means to be part of the Hilti family. What you need is: Minimum Bachelor’s degree in Information Technology, Computer Science, or any other relevant education. Minimum of 1-3 years of experience in SAP FICO modules in SAP ERP environment. Basic understanding in SAP FICO Modules (Account Receivable (AR), Finance (FI), Account Payable (AP)) will be considered as beneficial in the role. High willingness to learn SAP processes, integrations and interested in project management related tasks. Good command of English (spoken and written), communication, and adapting skills in a multicultural environment. Familiar with Atlassian (JIRA/Confluence), ServiceNow tools & any other collaboration tools. Why should you apply? Become a valuable member of our highly professional and international team of IT experts and tackle the challenges of a global multinational company using the latest technologies. You will have the freedom to act in the responsible area and will have career prospects in a dynamic environment with excellent opportunities to develop yourself to higher levels and wider range of knowledge. We have a clearly defined career development track for every individual employee and an excellent team who are duly rewarded by performance. Click through the 'Apply Now' button where you will be asked to upload your CV and answer a couple of short questions – the whole process should take around 90 seconds. If we like what we see, you'll be invited to a telephone interview. If we don't have a suitable role for you at the moment, we will keep you in our talent pool for the future so your recruitment process might take a bit longer but we'll be sure to stay in touch. #JoinHiltiAsiaITServices Looking forward to hearing from you!"
